pct,chemical,chemical_code,total_items,total_tabs_caps
15M,Paracetamol,0407010H0,466322,69107602
15N,Paracetamol,0407010H0,499850,67502353
15E,Metformin Hydrochloride,0601022B0,464973,51957468
15E,Paracetamol,0407010H0,387416,49715687
13T,Paracetamol,0407010H0,411359,46461080
15E,Co-Codamol (Codeine Phos/Paracetamol),0407010F0,353725,40204926
15N,Omeprazole,0103050P0,957962,38073060
15C,Paracetamol,0407010H0,313331,36880068
15N,Metformin Hydrochloride,0601022B0,428195,36868913
15F,Paracetamol,0407010H0,292166,36274356
15M,Metformin Hydrochloride,0601022B0,367099,36240550
11J,Paracetamol,0407010H0,254118,35210672
15N,Atorvastatin,0212000B0,990003,32649249
15E,Atorvastatin,0212000B0,793295,31884539
15N,Co-Codamol (Codeine Phos/Paracetamol),0407010F0,271806,31852678
15N,Levothyroxine Sodium,0602010V0,820250,30541468
06H,Paracetamol,0407010H0,227157,29545687
15C,Metformin Hydrochloride,0601022B0,323889,29016221
06H,Metformin Hydrochloride,0601022B0,367565,28887270
03N,Paracetamol,0407010H0,225543,28734476
05L,Metformin Hydrochloride,0601022B0,265587,27735648
15C,Co-Codamol (Codeine Phos/Paracetamol),0407010F0,235021,26477757
11X,Paracetamol,0407010H0,185633,26234294
04G,Co-Codamol (Codeine Phos/Paracetamol),0407010F0,218260,26174220
11N,Co-Codamol (Codeine Phos/Paracetamol),0407010F0,228377,25907183
99A,Co-Codamol (Codeine Phos/Paracetamol),0407010F0,231156,25720213
15M,Atorvastatin,0212000B0,698060,25492349
15F,Co-Codamol (Codeine Phos/Paracetamol),0407010F0,213889,25102664
15F,Metformin Hydrochloride,0601022B0,308334,24657804
15N,Ramipril,0205051R0,691991,24621958
10Q,Paracetamol,0407010H0,196462,24497841
15C,Omeprazole,0103050P0,634435,24271293
15M,Ramipril,0205051R0,623894,23440976
00L,Paracetamol,0407010H0,194839,23241480
00P,Paracetamol,0407010H0,224540,23150073
15C,Atorvastatin,0212000B0,699027,23130843
15M,Omeprazole,0103050P0,551713,23094494
14L,Co-Codamol (Codeine Phos/Paracetamol),0407010F0,210789,23012063
11J,Omeprazole,0103050P0,569558,22785119
04G,Paracetamol,0407010H0,174200,22676179
11J,Metformin Hydrochloride,0601022B0,235979,22622524
06H,Omeprazole,0103050P0,628736,22446358
11N,Omeprazole,0103050P0,595650,22322745
15E,Levothyroxine Sodium,0602010V0,479433,22148795
14L,Paracetamol,0407010H0,185939,22141775
03N,Co-Codamol (Codeine Phos/Paracetamol),0407010F0,186935,22124175
05L,Paracetamol,0407010H0,172142,22049855
15N,Amlodipine,0206020A0,628299,21934526
15M,Levothyroxine Sodium,0602010V0,538301,21490722
15E,Amlodipine,0206020A0,513319,21414652
15M,Co-Codamol (Codeine Phos/Paracetamol),0407010F0,161485,21339533
15F,Atorvastatin,0212000B0,671741,21334896
11N,Paracetamol,0407010H0,168967,21296912
07W,Metformin Hydrochloride,0601022B0,222668,21203729
14L,Metformin Hydrochloride,0601022B0,256778,20930415
15C,Levothyroxine Sodium,0602010V0,545591,20903906
11M,Paracetamol,0407010H0,178320,20794966
05L,Co-Codamol (Codeine Phos/Paracetamol),0407010F0,173642,20441095
04G,Metformin Hydrochloride,0601022B0,285291,20415692
00D,Paracetamol,0407010H0,192525,20392480
11J,Co-Codamol (Codeine Phos/Paracetamol),0407010F0,170101,20312736
15E,Lansoprazole,0103050L0,511091,20269641
04C,Metformin Hydrochloride,0601022B0,229585,20246785
11A,Paracetamol,0407010H0,142238,20225149
15M,Gabapentin,0408010G0,174318,20159132
02X,Co-Codamol (Codeine Phos/Paracetamol),0407010F0,170047,20068974
00J,Paracetamol,0407010H0,187779,20049570
15M,Codeine Phosphate,0407020C0,208277,19971435
06H,Atorvastatin,0212000B0,693642,19941096
06H,Levothyroxine Sodium,0602010V0,635151,19874526
15E,Ramipril,0205051R0,477518,19808243
08M,Metformin Hydrochloride,0601022B0,274568,19786034
99N,Paracetamol,0407010H0,146275,19725538
15M,Lansoprazole,0103050L0,532844,19709357
10Q,Metformin Hydrochloride,0601022B0,222158,19703537
07P,Metformin Hydrochloride,0601022B0,186155,19696619
15M,Amlodipine,0206020A0,517445,19539163
03N,Metformin Hydrochloride,0601022B0,256790,19494326
15E,Omeprazole,0103050P0,451575,19394547
11X,Omeprazole,0103050P0,460533,19157467
11J,Atorvastatin,0212000B0,538297,19127674
15N,Amitriptyline Hydrochloride,0403010B0,365517,19054008
02X,Paracetamol,0407010H0,142306,19011534
15F,Lansoprazole,0103050L0,580679,18931584
99A,Paracetamol,0407010H0,157404,18924188
02H,Co-Codamol (Codeine Phos/Paracetamol),0407010F0,158771,18890351
