,pct,chemical,chemical_code,total_items,total_tabs_caps,ltc_stablish
316,15E,Metformin Hydrochloride,0601022B0,464973.0,51957468.0,1.0
317,15N,Metformin Hydrochloride,0601022B0,428195.0,36868913.0,1.0
318,15M,Metformin Hydrochloride,0601022B0,367099.0,36240550.0,1.0
319,15C,Metformin Hydrochloride,0601022B0,323889.0,29016221.0,1.0
320,06H,Metformin Hydrochloride,0601022B0,367565.0,28887270.0,1.0
321,05L,Metformin Hydrochloride,0601022B0,265587.0,27735648.0,1.0
322,15F,Metformin Hydrochloride,0601022B0,308334.0,24657804.0,1.0
323,11J,Metformin Hydrochloride,0601022B0,235979.0,22622524.0,1.0
324,07W,Metformin Hydrochloride,0601022B0,222668.0,21203729.0,1.0
325,14L,Metformin Hydrochloride,0601022B0,256778.0,20930415.0,1.0
326,04G,Metformin Hydrochloride,0601022B0,285291.0,20415692.0,1.0
327,04C,Metformin Hydrochloride,0601022B0,229585.0,20246785.0,1.0
328,08M,Metformin Hydrochloride,0601022B0,274568.0,19786034.0,1.0
329,10Q,Metformin Hydrochloride,0601022B0,222158.0,19703537.0,1.0
330,07P,Metformin Hydrochloride,0601022B0,186155.0,19696619.0,1.0
331,03N,Metformin Hydrochloride,0601022B0,256790.0,19494326.0,1.0
332,14Y,Metformin Hydrochloride,0601022B0,168956.0,18775033.0,1.0
333,06N,Metformin Hydrochloride,0601022B0,197264.0,18410819.0,1.0
334,06K,Metformin Hydrochloride,0601022B0,235666.0,17884225.0,1.0
335,11N,Metformin Hydrochloride,0601022B0,223287.0,17585930.0,1.0
336,11X,Metformin Hydrochloride,0601022B0,182087.0,17478404.0,1.0
337,11M,Metformin Hydrochloride,0601022B0,220081.0,16738782.0,1.0
338,09G,Metformin Hydrochloride,0601022B0,170625.0,16610635.0,1.0
339,13T,Metformin Hydrochloride,0601022B0,236329.0,16339122.0,1.0
340,05A,Metformin Hydrochloride,0601022B0,197582.0,16326804.0,1.0
341,07V,Metformin Hydrochloride,0601022B0,153314.0,15971521.0,1.0
342,99A,Metformin Hydrochloride,0601022B0,207318.0,15541666.0,1.0
343,15D,Metformin Hydrochloride,0601022B0,153971.0,15498477.0,1.0
344,08N,Metformin Hydrochloride,0601022B0,138859.0,15451982.0,1.0
345,11A,Metformin Hydrochloride,0601022B0,148809.0,15352977.0,1.0
346,07X,Metformin Hydrochloride,0601022B0,166568.0,14819078.0,1.0
347,01A,Metformin Hydrochloride,0601022B0,165836.0,14657332.0,1.0
348,99N,Metformin Hydrochloride,0601022B0,158717.0,14468586.0,1.0
349,07M,Metformin Hydrochloride,0601022B0,136578.0,14406552.0,1.0
350,15A,Metformin Hydrochloride,0601022B0,143610.0,14345251.0,1.0
351,08V,Metformin Hydrochloride,0601022B0,211255.0,13762456.0,1.0
352,06F,Metformin Hydrochloride,0601022B0,157080.0,13750344.0,1.0
353,99J,Metformin Hydrochloride,0601022B0,175094.0,13666828.0,1.0
354,08E,Metformin Hydrochloride,0601022B0,141164.0,13527262.0,1.0
355,05W,Metformin Hydrochloride,0601022B0,149345.0,12930747.0,1.0
356,03R,Metformin Hydrochloride,0601022B0,143437.0,12630751.0,1.0
357,06L,Metformin Hydrochloride,0601022B0,138272.0,12466695.0,1.0
358,04K,Metformin Hydrochloride,0601022B0,125512.0,12432446.0,1.0
359,02X,Metformin Hydrochloride,0601022B0,160633.0,12369494.0,1.0
360,08G,Metformin Hydrochloride,0601022B0,128141.0,12228152.0,1.0
361,05Y,Metformin Hydrochloride,0601022B0,113865.0,12202350.0,1.0
362,04V,Metformin Hydrochloride,0601022B0,146161.0,12144416.0,1.0
363,07Y,Metformin Hydrochloride,0601022B0,134322.0,12107030.0,1.0
364,05C,Metformin Hydrochloride,0601022B0,107233.0,11966907.0,1.0
365,08W,Metformin Hydrochloride,0601022B0,104740.0,11921354.0,1.0
366,06Q,Metformin Hydrochloride,0601022B0,148985.0,11864316.0,1.0
367,00P,Metformin Hydrochloride,0601022B0,174111.0,11765704.0,1.0
368,03F,Metformin Hydrochloride,0601022B0,158049.0,11755592.0,1.0
369,00L,Metformin Hydrochloride,0601022B0,141123.0,11701092.0,1.0
370,08K,Metformin Hydrochloride,0601022B0,154349.0,11691230.0,1.0
371,00D,Metformin Hydrochloride,0601022B0,176247.0,11498671.0,1.0
372,08D,Metformin Hydrochloride,0601022B0,137936.0,11468875.0,1.0
373,01K,Metformin Hydrochloride,0601022B0,127706.0,11461990.0,1.0
374,02H,Metformin Hydrochloride,0601022B0,113875.0,11435245.0,1.0
375,00M,Metformin Hydrochloride,0601022B0,143608.0,11410053.0,1.0
376,08A,Metformin Hydrochloride,0601022B0,104286.0,11143067.0,1.0
377,12F,Metformin Hydrochloride,0601022B0,120357.0,11066499.0,1.0
378,02Y,Metformin Hydrochloride,0601022B0,135684.0,10946263.0,1.0
379,00Y,Metformin Hydrochloride,0601022B0,125018.0,10931239.0,1.0
380,01H,Metformin Hydrochloride,0601022B0,119356.0,10779370.0,1.0
381,09W,Metformin Hydrochloride,0601022B0,113962.0,10644922.0,1.0
382,06T,Metformin Hydrochloride,0601022B0,144119.0,10628445.0,1.0
383,09Y,Metformin Hydrochloride,0601022B0,86995.0,10470213.0,1.0
384,08F,Metformin Hydrochloride,0601022B0,101632.0,10442459.0,1.0
385,08Q,Metformin Hydrochloride,0601022B0,125107.0,10380699.0,1.0
386,00T,Metformin Hydrochloride,0601022B0,125020.0,10340370.0,1.0
387,08X,Metformin Hydrochloride,0601022B0,141348.0,10316576.0,1.0
388,03L,Metformin Hydrochloride,0601022B0,126327.0,10244194.0,1.0
389,07T,Metformin Hydrochloride,0601022B0,91970.0,10230265.0,1.0
390,00K,Metformin Hydrochloride,0601022B0,113637.0,10145231.0,1.0
391,01W,Metformin Hydrochloride,0601022B0,119120.0,10081432.0,1.0
392,06A,Metformin Hydrochloride,0601022B0,131080.0,10074426.0,1.0
393,01Y,Metformin Hydrochloride,0601022B0,111027.0,9950405.0,1.0
394,05N,Metformin Hydrochloride,0601022B0,102883.0,9932264.0,1.0
