,chemical,chemical_code,total_items,total_tabs_caps
362,Paracetamol,0407010H0,16384395,2078005085
284,Metformin Hydrochloride,0601022B0,22212640,1960904789
107,Co-Codamol (Codeine Phos/Paracetamol),0407010F0,15014107,1722100562
42,Atorvastatin,0212000B0,45389270,1468340142
342,Omeprazole,0103050P0,31550342,1207641773
249,Levothyroxine Sodium,0602010V0,32798750,1198096497
27,Amlodipine,0206020A0,30358933,1043281996
426,Ramipril,0205051R0,29212947,1018134395
244,Lansoprazole,0103050L0,26525748,868416619
56,Bisoprolol Fumarate,0204000H0,24766490,772389534
207,Gabapentin,0408010G0,7254341,740557946
457,Simvastatin,0212000Y0,21971762,719019163
35,Aspirin,0209000A0,22264432,680318935
26,Amitriptyline Hydrochloride,0403010B0,13866466,676426783
496,Tramadol Hydrochloride,040702040,6071600,574748698
453,Sertraline Hydrochloride,0403030Q0,16552120,541134784
92,Citalopram Hydrobromide,0403030D0,14043954,463003883
211,Gliclazide,0601021M0,6830189,457348676
118,Codeine Phosphate,0407020C0,4934461,413367562
523,Warfarin Sodium,0208020V0,7116458,368200517
205,Furosemide,0202020L0,11683900,365659123
407,Pregabalin,0408010AE,7320793,361923034
405,Prednisolone,0603020T0,7126435,360839556
266,Losartan Potassium,0205052N0,10257309,359813098
416,Propranolol Hydrochloride,0204000R0,5637455,327494784
47,Bendroflumethiazide,0202010B0,9066477,324716610
256,Lisinopril,0205051L0,8645586,320189316
152,Doxazosin Mesilate,0205040D0,6686143,313976272
31,Apixaban,0208020Z0,5758934,299024459
196,Fluoxetine Hydrochloride,0403030E0,6667563,298524864
428,Ranitidine Hydrochloride,0103010T0,5946525,286831478
100,Clopidogrel,0209000C0,10140039,280117677
75,Candesartan Cilexetil,0205052C0,7098670,251520926
301,Mirtazapine,0403040X0,9556747,229239482
39,Atenolol,0204000E0,6537078,227204986
111,Co-Dydramol (Dihydrocodeine/Paracet),0407010N0,1774763,199986600
229,Indapamide,0202010P0,4793574,168226653
518,Venlafaxine,0403040W0,4615813,168098672
243,Lamotrigine,0408010H0,2920078,166796472
282,Mesalazine (Systemic),0105010B0,1164673,165783809
463,Sodium Valproate,0408010W0,2222935,163638929
275,Mebeverine Hydrochloride,0102000P0,2082984,161466341
452,Senna,0106020M0,3666796,157612159
305,Morphine Sulfate,0407020Q0,2663745,157393836
360,Pancreatin,0109040N0,596763,156953090
377,Perindopril Erbumine,0205051M0,4387574,155180305
236,Isosorbide Mononitrate,0206010K0,4582421,154217746
77,Carbamazepine,0408010C0,2164759,147543265
148,Docusate Sodium,0106020I0,2235741,140145555
138,Dihydrocodeine Tartrate,0407020G0,1557017,138441403
261,Loperamide Hydrochloride,0104020L0,1673899,136610984
246,Levetiracetam,0408010A0,2194416,133766984
134,Diazepam,0401020K0,4791928,131814947
50,Betahistine Hydrochloride,0406000B0,1649248,131806318
188,Felodipine,0206020F0,3688513,130243922
419,Quetiapine,0402010AB,3603414,127026644
224,Hyoscine Butylbromide,0102000N0,1437657,123214766
437,Rivaroxaban,0208020Y0,4284101,120160399
106,Co-Careldopa (Carbidopa/Levodopa),0409010N0,1287947,118346184
192,Finasteride,0604020C0,3737232,111795454
139,Diltiazem Hydrochloride,0206020C0,2624906,110681470
470,Sulfasalazine,0105010E0,828827,106355311
528,Zopiclone,0401010Z0,5110805,98352156
245,Lercanidipine Hydrochloride,0206020L0,2657260,90432967
105,Co-Beneldopa (Benserazide/Levodopa),0409010K0,1004206,90026969
442,Rosuvastatin Calcium,0212000AA,2502757,83992600
178,Estradiol with Progestogen,0604011L0,907978,83933127
174,Esomeprazole,0103050E0,2024976,83676381
403,Pravastatin Sodium,0212000X0,2524296,83140599
156,Duloxetine Hydrochloride,0403040Y0,2566844,81637300
326,Nifedipine,0206020R0,1640808,79973545
322,Nicorandil,0206030N0,1442530,79528052
62,Bumetanide,0202020D0,1727695,76753590
459,Sitagliptin,0601023X0,2477666,75256445
137,Digoxin,0201010F0,2892768,74412736
358,Oxycodone Hydrochloride,0407020AD,1415426,74191418
465,Spironolactone,0202030S0,2756176,71433581
409,Prochlorperazine Maleate,0406000T0,1513178,67776653
165,Enalapril Maleate,0205051I0,1582711,66706158
231,Irbesartan,0205052I0,1807006,65442371
494,Topiramate,040801050,952457,62885350
185,Ezetimibe,0212000L0,1842926,59317891
335,Olanzapine,040201060,2412980,56450562
252,Linagliptin,0601023AE,2116760,55699813
436,Risperidone,040201030,1641908,53270724
361,Pantoprazole,0103050R0,1311022,50388838
55,Bisacodyl,0106020C0,1045375,48472165
277,Melatonin,0401010AD,939238,48169871
123,Cyclizine Hydrochloride,0406000F0,934651,48088894
366,Paroxetine Hydrochloride,0403030P0,1311815,47206871
370,Peppermint Oil,0102000T0,531127,44637614
99,Clonidine Hydrochloride,0407042F0,381967,44446580
291,Methylphenidate Hydrochloride,0404000M0,1066345,42343571
150,Donepezil Hydrochloride,0411000D0,2076341,41897819
331,Nortriptyline,0403010V0,644456,41152757
12,Alogliptin,0601023AK,1311849,40214937
162,Empagliflozin,0601023AN,1268411,40193629
97,Clonazepam,0408010F0,970212,39854350
500,Trazodone Hydrochloride,0403010X0,1115617,39164919
172,Escitalopram,0403030X0,1224395,38904119
